type,max_value,time_of_max,location_of_max,avg_launch_rate,max_cagr,time_of_max_cagr,location_of_max_cagr,harmonic_mean_cagr
D,1621.55,16,532.5,NA,Inf,1,217.5,-0.09
N,999,1,847.5,NA,0.38,1,1232.5,0
S,2529,1,532.5,NA,-0,1,252.5,-0.01
Su,1110.78,10,322.5,NA,13.72,1,287.5,-10.47
cost,1965001,0,812.5,NA,0,0,217.5,0
gross.ror,0.36,4,602.5,NA,0.28,1,217.5,0.28
lSlotted,471,1,532.5,16.94,0,1,532.5,0
lUnslotted,610.78,8,322.5,15.9,Inf,1,287.5,-27.7
llCost,750000,0,812.5,483999.74,0,0,637.5,0
risk.free.npv,759730.04,4,602.5,NA,0.77,1,742.5,0.48
skCost,134350.67,0,217.5,NA,0,0,217.5,0
